"","Block","Base_File","Repeated","Insert","Degredation","Image"
"1",1,"001a.jpg",1,NA,25,"001a.jpg"
"2",1,"002b.jpg",1,NA,75,"002b.jpg"
"3",1,"003b.jpg",1,NA,25,"003b.jpg"
"4",1,"004b.jpg",1,NA,50,"004b.jpg"
"5",1,"005a.jpg",1,NA,50,"005a.jpg"
"6",1,"006a.jpg",1,NA,25,"006a.jpg"
"7",1,"007b.jpg",1,NA,75,"007b.jpg"
"8",1,"008b.jpg",1,NA,75,"008b.jpg"
"9",1,"011b.jpg",1,NA,75,"011b.jpg"
"10",1,"012a.jpg",1,NA,0,"012a.jpg"
"11",1,"013b.jpg",1,NA,25,"013b.jpg"
"12",1,"014b.jpg",1,NA,75,"014b.jpg"
"13",1,"016a.jpg",1,NA,0,"016a.jpg"
"14",1,"017a.jpg",1,NA,0,"017a.jpg"
"15",1,"018b.jpg",1,NA,25,"018b.jpg"
"16",1,"019b.jpg",1,NA,0,"019b.jpg"
"17",1,"020b.jpg",1,NA,0,"020b.jpg"
"18",1,"021b.jpg",1,NA,75,"021b.jpg"
"19",1,"023a.jpg",1,NA,25,"023a.jpg"
"20",1,"027a.jpg",1,NA,0,"027a.jpg"
"21",1,"028a.jpg",1,NA,50,"028a.jpg"
"22",1,"029b.jpg",1,NA,50,"029b.jpg"
"23",1,"030b.jpg",1,NA,50,"030b.jpg"
"24",1,"032a.jpg",1,NA,75,"032a.jpg"
"25",1,"033a.jpg",1,NA,0,"033a.jpg"
"26",1,"034a.jpg",1,NA,0,"034a.jpg"
"27",1,"035a.jpg",1,NA,50,"035a.jpg"
"28",1,"039b.jpg",1,NA,50,"039b.jpg"
"29",1,"040a.jpg",1,NA,75,"040a.jpg"
"30",1,"041a.jpg",1,NA,50,"041a.jpg"
"31",1,"042a.jpg",1,NA,75,"042a.jpg"
"32",1,"045a.jpg",1,NA,0,"045a.jpg"
"33",1,"046b.jpg",1,NA,75,"046b.jpg"
"34",1,"047b.jpg",1,NA,50,"047b.jpg"
"35",1,"048b.jpg",1,NA,50,"048b.jpg"
